GMRT-TAU_J042916.05+172606.7	04:29:16.050	+17:26:06.69	13.87	0.84	17.33	1.16	194	S	-	-	-	-	-	-	-	-	L	-0.50	0.15	N 
GMRT-TAU_J042917.03+171931.5	04:29:17.029	+17:19:31.47	11.21	0.90	15.10	1.35	140	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042920.01+175347.8	04:29:20.006	+17:53:47.78	13.62	0.75	18.08	1.03	166	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042920.10+175327.5	04:29:20.098	+17:53:27.48	3.86	0.37	6.96	0.57	166	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042922.21+181124.0	04:29:22.210	+18:11:23.98	-	-	-	-	-	-	1.73	0.29	3.96	0.43	167	S	-	-	-	-	-	-
GMRT-TAU_J042924.05+181955.7	04:29:24.053	+18:19:55.71	3.04	0.34	3.86	0.53	68	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042925.91+181955.0	04:29:25.909	+18:19:54.96	1.98	0.32	2.38	0.51	34	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042925.93+172733.9	04:29:25.930	+17:27:33.89	23.32	1.25	49.01	2.65	174	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042926.89+184814.4	04:29:26.893	+18:48:14.44	31.00	1.61	41.68	2.19	411	S	-	-	-	-	-	-	-	-	L	-0.78	0.11	N 
GMRT-TAU_J042927.17+181700.0	04:29:27.175	+18:16:59.96	2.64	0.50	2.99	0.81	62	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042928.29+181614.5	04:29:28.289	+18:16:14.52	4.46	0.59	8.63	0.89	219	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042928.39+181633.1	04:29:28.389	+18:16:33.11	2.29	0.51	10.22	0.78	219	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042929.04+180159.2	04:29:29.041	+18:01:59.20	3.75	0.29	5.80	0.45	121	C	1.44	0.17	1.04	0.33	362	S	-	-	-	-	-	-
GMRT-TAU_J042929.06+184520.6	04:29:29.063	+18:45:20.60	29.69	1.55	38.98	2.06	305	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042929.09+181551.4	04:29:29.088	+18:15:51.38	209.07	10.47	228.00	11.54	756	M	153.62	7.94	160.93	8.76	1947	S	-	-	B	-0.34	0.08	N 
GMRT-TAU_J042929.74+184546.6	04:29:29.738	+18:45:46.58	50.84	2.58	74.55	3.83	305	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042929.95+180152.7	04:29:29.946	+18:01:52.71	2.99	0.27	4.05	0.41	121	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042930.68+181452.8	04:29:30.677	+18:14:52.82	2.11	0.29	28.33	1.45	320	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042931.32+172801.9	04:29:31.318	+17:28:01.87	8.22	0.60	12.68	0.92	168	S	-	-	-	-	-	-	-	-	L	-0.75	0.22	N 
GMRT-TAU_J042933.27+181952.5	04:29:33.273	+18:19:52.51	-	-	-	-	-	-	1.34	0.30	2.94	0.44	98	S	-	-	-	-	-	-
GMRT-TAU_J042935.84+181622.5	04:29:35.839	+18:16:22.49	-	-	-	-	-	-	1.65	0.31	1.45	0.56	56	S	-	-	-	-	-	-
GMRT-TAU_J042935.86+173140.8	04:29:35.859	+17:31:40.75	15.33	0.86	24.39	1.35	191	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042936.07+174728.1	04:29:36.070	+17:47:28.11	10.32	0.59	19.43	1.14	181	M	-	-	-	-	-	-	-	-	-	-	-	2M
GMRT-TAU_J042936.48+173129.7	04:29:36.482	+17:31:29.65	14.84	0.84	25.63	1.40	191	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042937.12+174559.4	04:29:37.125	+17:45:59.37	16.85	0.89	51.68	2.72	347	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042938.72+180953.4	04:29:38.725	+18:09:53.42	-	-	-	-	-	-	1.05	0.22	2.90	0.32	82	S	-	-	-	-	-	-
GMRT-TAU_J042938.80+173756.5	04:29:38.803	+17:37:56.50	1.95	0.30	2.05	0.49	17	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042939.07+180850.9	04:29:39.068	+18:08:50.87	13.19	0.70	21.62	1.18	144	M	6.08	0.37	7.01	0.49	128	S	-	-	B	-0.86	0.50	N 
GMRT-TAU_J042940.85+182008.7	04:29:40.855	+18:20:08.69	1.32	0.26	1.87	0.41	20	S	-	-	-	-	-	-	-	-	-	-	-	-
